_id,type,item,employee,createdAt,updatedAt,__v
66a14b681420ffab8db01ea1,true,669e92dfbde8fadf674ea964,65d354300148a75f36826aab,2024-07-24T18:43:52.774Z,2024-07-24T18:44:06.439Z,0
66a150d61420ffab8db030d1,true,669e92dfbde8fadf674ea964,65d355c2aa745e2e9069b7ee,2024-07-24T19:07:02.811Z,2024-07-24T19:07:15.051Z,0
66a15314268392c1e5bc4066,true,669e92dfbde8fadf674ea964,65d355c2aa745e2e9069b7ee,2024-07-24T19:16:36.857Z,2024-07-24T19:17:12.586Z,0
66a15342268392c1e5bc409b,true,669e92dfbde8fadf674ea964,65d355c2aa745e2e9069b7ee,2024-07-24T19:17:22.995Z,2024-07-24T19:17:54.842Z,0
66a16ac5268392c1e5bc6a66,true,65e87b6acb7a1ff3d9a8253a,65d354220148a75f36826a94,2024-07-24T20:57:41.621Z,2024-07-26T11:46:51.615Z,0
66a16ac5268392c1e5bc6a68,true,65e87b6acb7a1ff3d9a8253c,65d354220148a75f36826a94,2024-07-24T20:57:41.625Z,2024-07-26T11:46:51.618Z,0
66a16ac5268392c1e5bc6a6a,true,65e87b68cb7a1ff3d9a8245e,65d354220148a75f36826a94,2024-07-24T20:57:41.628Z,2024-07-26T11:46:51.619Z,0
66a22baa268392c1e5bc7f14,true,66a22b8a268392c1e5bc7f0c,65d354090148a75f36826a6f,2024-07-25T10:40:42.536Z,2024-07-25T21:05:09.289Z,0
66a22baa268392c1e5bc7f16,true,65e87b6acb7a1ff3d9a82512,65d354090148a75f36826a6f,2024-07-25T10:40:42.894Z,2024-07-25T21:04:26.742Z,0
66a22c9d268392c1e5bc82db,true,65e87b66cb7a1ff3d9a823d0,65d354190148a75f36826a85,2024-07-25T10:44:45.637Z,2024-07-26T19:54:00.725Z,0
66a232dcaf9e4dcbc170e167,true,669e92dfbde8fadf674ea964,65d354190148a75f36826a85,2024-07-25T11:11:24.511Z,2024-07-25T11:11:51.031Z,0
66a23344af9e4dcbc170e8c5,true,668d837abde8fadf6747ef8d,65d354090148a75f36826a6f,2024-07-25T11:13:08.257Z,2024-07-26T11:46:51.997Z,0
66a23344af9e4dcbc170e8c7,true,65e87b6acb7a1ff3d9a824f6,65d354090148a75f36826a6f,2024-07-25T11:13:08.260Z,2024-07-26T11:46:52.621Z,0
66a23344af9e4dcbc170e8cf,true,65e87b67cb7a1ff3d9a8240e,65d354090148a75f36826a6f,2024-07-25T11:13:08.610Z,2024-07-26T11:46:51.619Z,0
66a23344af9e4dcbc170e8cd,true,65e87b66cb7a1ff3d9a823ec,65d354090148a75f36826a6f,2024-07-25T11:13:08.607Z,2024-07-26T11:46:52.619Z,0
66a3d94baf9e4dcbc1737c75,true,66853fe4644aafff5a10a073,65d354320148a75f36826ab0,2024-07-26T17:13:47.090Z,2024-07-26T17:28:15.319Z,0
66a3d9cfaf9e4dcbc1737c95,true,65e87b69cb7a1ff3d9a824b6,65d354320148a75f36826ab0,2024-07-26T17:15:59.100Z,2024-07-26T17:28:15.315Z,0
66a3f60eaf9e4dcbc173d50e,true,669e92dfbde8fadf674ea964,65d354370148a75f36826aba,2024-07-26T19:16:30.655Z,2024-07-29T12:18:07.599Z,0
66a3f60eaf9e4dcbc173d510,true,65e87b69cb7a1ff3d9a824b6,65d354370148a75f36826aba,2024-07-26T19:16:30.659Z,2024-07-26T19:53:15.190Z,0
66a3f60eaf9e4dcbc173d512,true,65e87b66cb7a1ff3d9a82406,65d354370148a75f36826aba,2024-07-26T19:16:30.667Z,2024-07-30T16:29:58.146Z,0
66a774a3af9e4dcbc17436a1,true,65e87b6acb7a1ff3d9a824f6,65d354370148a75f36826aba,2024-07-29T10:53:23.208Z,2024-07-29T12:18:07.250Z,0
66a774a3af9e4dcbc17436a3,true,65e87b6bcb7a1ff3d9a82554,65d354370148a75f36826aba,2024-07-29T10:53:23.211Z,2024-07-29T12:18:07.246Z,0
66a77524af9e4dcbc1743aae,true,65e87b66cb7a1ff3d9a823f0,65d354370148a75f36826aba,2024-07-29T10:55:32.115Z,2024-07-29T12:18:07.258Z,0
66a78618af9e4dcbc1746945,true,65e87b6bcb7a1ff3d9a82558,65d354370148a75f36826aba,2024-07-29T12:07:52.996Z,2024-07-29T12:18:07.243Z,0
66a78d13af9e4dcbc1748605,true,65e87b66cb7a1ff3d9a823d0,65d353fe0148a75f36826a64,2024-07-29T12:37:39.308Z,2024-07-31T19:43:45.877Z,0
66a7a564af9e4dcbc174d327,true,669e92dfbde8fadf674ea964,65d354370148a75f36826aba,2024-07-29T14:21:24.686Z,2024-07-29T17:24:12.138Z,0
66a7a63daf9e4dcbc174d7f1,true,65e87b69cb7a1ff3d9a8249e,65d354370148a75f36826aba,2024-07-29T14:25:01.109Z,2024-07-29T17:24:12.134Z,0
66a7c348af9e4dcbc1752665,true,65e87b66cb7a1ff3d9a823f8,65d354370148a75f36826aba,2024-07-29T16:28:56.814Z,2024-07-29T17:24:12.153Z,0
66a7c646af9e4dcbc1752f19,true,65e87b68cb7a1ff3d9a82454,65d354370148a75f36826aba,2024-07-29T16:41:42.188Z,2024-07-29T17:24:12.137Z,0
66a8c32079ee6c83ca055139,true,669e92dfbde8fadf674ea964,65d354370148a75f36826aba,2024-07-30T10:40:32.593Z,2024-07-30T11:03:40.533Z,0
66a8c32079ee6c83ca05513c,true,65e87b66cb7a1ff3d9a823f8,65d354370148a75f36826aba,2024-07-30T10:40:32.982Z,2024-07-30T11:03:40.529Z,0
66a8c43179ee6c83ca055784,true,66a3e48faf9e4dcbc1739d93,65d354370148a75f36826aba,2024-07-30T10:45:05.665Z,2024-07-30T11:03:40.532Z,0
66a8c86f79ee6c83ca056100,true,65e87b68cb7a1ff3d9a8245a,65d354370148a75f36826aba,2024-07-30T11:03:11.823Z,2024-07-30T11:07:03.514Z,0
