_id,type,quantity,item,employee,createdAt,updatedAt,__v
65e8888f0d7e43049698d2a1,true,1,65e87b6acb7a1ff3d9a824f8,65d47f7f8dc91af0429e2c83,2023-08-24T19:17:43.371Z,2023-08-24T19:17:43.371Z,0
65e8888f0d7e43049698d2a8,true,1,65e87b6acb7a1ff3d9a824f8,65d47f7f8dc91af0429e2c83,2023-08-24T19:19:43.130Z,2023-08-24T19:19:43.130Z,0
65e8888f0d7e43049698d2ab,true,20,65e87b6acb7a1ff3d9a824f8,65d47f7f8dc91af0429e2c83,2023-08-24T19:20:58.368Z,2023-08-24T19:20:58.368Z,0
65e8888f0d7e43049698d2ae,true,20,65e87b6acb7a1ff3d9a824f8,65d47f7f8dc91af0429e2c83,2023-08-24T19:21:15.782Z,2023-08-24T19:21:15.782Z,0
65e888900d7e43049698d2b1,true,20,65e87b6acb7a1ff3d9a824f8,65d47f7f8dc91af0429e2c83,2023-08-24T19:21:17.107Z,2023-08-24T19:21:17.107Z,0
65e888900d7e43049698d2b4,true,20,65e87b6acb7a1ff3d9a824f8,65d47f7f8dc91af0429e2c83,2023-08-24T19:21:17.249Z,2023-08-24T19:21:17.249Z,0
65e888900d7e43049698d2b7,true,1,65e87b6acb7a1ff3d9a824f8,65d47f7f8dc91af0429e2c83,2023-08-24T19:22:54.118Z,2023-08-24T19:22:54.118Z,0
65e888900d7e43049698d2ba,true,1,65e87b6acb7a1ff3d9a824f8,65d47f7f8dc91af0429e2c83,2023-08-24T19:22:56.235Z,2023-08-24T19:22:56.235Z,0
65e888900d7e43049698d2bd,true,1,65e87b6acb7a1ff3d9a824f8,65d47f7f8dc91af0429e2c83,2023-08-24T19:22:57.226Z,2023-08-24T19:22:57.226Z,0
65e888900d7e43049698d2c0,true,1,65e87b6acb7a1ff3d9a824f8,65d47f7f8dc91af0429e2c83,2023-08-24T19:22:58.068Z,2023-08-24T19:22:58.068Z,0
65e888900d7e43049698d2c3,true,1,65e87b6acb7a1ff3d9a824f8,65d47f7f8dc91af0429e2c83,2023-08-24T19:22:58.834Z,2023-08-24T19:22:58.834Z,0
65e888900d7e43049698d2c6,true,1,65e87b6acb7a1ff3d9a824f8,65d47f7f8dc91af0429e2c83,2023-08-24T19:22:59.589Z,2023-08-24T19:22:59.589Z,0
65e888900d7e43049698d2c9,true,1,65e87b6acb7a1ff3d9a824f8,65d47f7f8dc91af0429e2c83,2023-08-24T19:23:00.260Z,2023-08-24T19:23:00.260Z,0
65e888900d7e43049698d2cc,true,1,65e87b6acb7a1ff3d9a824f8,65d47f7f8dc91af0429e2c83,2023-08-24T19:23:00.960Z,2023-08-24T19:23:00.960Z,0
65e888900d7e43049698d2cf,true,1,65e87b6acb7a1ff3d9a824f8,65d47f7f8dc91af0429e2c83,2023-08-24T19:23:01.595Z,2023-08-24T19:23:01.595Z,0
65e888900d7e43049698d2d2,true,1,65e87b6acb7a1ff3d9a824f8,65d47f7f8dc91af0429e2c83,2023-08-24T19:23:02.137Z,2023-08-24T19:23:02.137Z,0
