_id,name,logo,cnpj,number,site,budgets[0].url,budgets[1].url,budgets[2].url,budgets[0].type,budgets[1].type,budgets[2].type,budgets[0].date,budgets[1].date,budgets[2].date,__v
666739238bc8fd55ccaa78d7,Casa dos Parafusos (Maicon),https://casadosparafusosguapore.com.br/wp-content/uploads/elementor/thumbs/a4da68_8bb06d3c5cac448cb3bdc3f7b84c3cb1mv2-1-1-2-qbvlxu40mestli8rfh2n3cnvjcev08qfmu9d90bhh8.png,84.877.786/0001-10,+554391851435,https://casadosparafusosguapore.com.br/,,,,,,,,,,
66674e5912dbd4d908e415af,Farben (Ronaldo),https://simnegocios.com.br/wp-content/uploads/2018/10/Logo-Farben-cmyk-nova.png,85.111.441/0001-13,+554821014300,https://www.farben.com.br,,,,,,,,,,
666750f912dbd4d908e415b0,3M,https://dwglogo.com/wp-content/uploads/2017/03/3M-logo.png,45.985.371/0001-08,,https://www.3m.com.br/3M/pt_BR/3m-do-brasil/,,,,,,,,,,
6667523312dbd4d908e415b1,Adere (Alex),https://www.adere.com/_files/banco_de_imagens/632b0ec0c010a-1663766208.png,46.062.030/0001-23,5519995076418,https://www.adere.com/pt,https://firebasestorage.googleapis.com/v0/b/ankaa-files.appspot.com/o/budgets%2F9a05b2b4-9676-498d-98ed-0b3a31673fa2?alt=media&token=7451ef78-d238-4df9-9d78-c830f3e3c740,,,application/pdf,,,2024-07-31T19:09:51.038Z,,,
6667568212dbd4d908e415b2,Casa do Soldador (Ronan),https://casadosoldador.com.br/img/mobile/header/logomarca.webp?1708434229,02.344.660/0001-15,554384288721,https://casadosoldador.com.br/,https://firebasestorage.googleapis.com/v0/b/ankaa-files.appspot.com/o/budgets%2Fc6f0aa8d-4b31-427b-9b76-de0736e452bc?alt=media&token=d3e56546-5c46-4ad4-9f3b-4bc1ec84a590,https://firebasestorage.googleapis.com/v0/b/ankaa-files.appspot.com/o/budgets%2F11b37201-4487-4530-8afd-b41acaa9f9ac?alt=media&token=6a98e692-eb44-4858-ba36-d4f2a847cc19,,application/pdf,application/pdf,,2024-07-23T14:11:03.725Z,2024-07-23T14:11:03.725Z,,
666824e08c8e77b54bf64798,Mercado Livre,https://upload.wikimedia.org/wikipedia/pt/0/04/Logotipo_MercadoLivre.png,03.007.331/0001-41,,https://www.mercadolivre.com.br/,,,,,,,,,,
666b52647b3c5eb42bcb797c,Econolux,https://portal.econolux.com.br/wp-content/uploads/2022/08/cropped-logo-escritas-m-correto.png,00.710.212/0001-62,+554333796464,https://www.econolux.com.br/,,,,,,,,,,0
666b53827b3c5eb42bcb79ec,Eletroluz,https://images.tcdn.com.br/files/1244482/themes/29/img/settings/Eletroluzazul.png,00.502.754/0012-00,+5544991175394,https://www.eletroluz.net/,,,,,,,,,,0
66829c67abbe23effdb7fbca,Seritelas (Valdir),https://firebasestorage.googleapis.com/v0/b/ankaa-files.appspot.com/o/images%2FPJ%20CORTES-new.png?alt=media&token=e2a6b5f2-dd87-4865-8f31-ba932d08589b,82.364.431/0001-00,4334231131,https://www.seritelasmga.com.br/,,,,,,,,,,0
6682eb544c67be05ec5bfd54,Actual Tintas (Valério),,26.686.406/0001-63,554384770876,,,,,,,,,,,0
